AREA_NM,AREA_CONGEST_LVL,AREA_PPLTN_MIN,AREA_PPLTN_MAX,MALE_PPLTN_RATE,FEMALE_PPLTN_RATE,PPLTN_RATE_0,PPLTN_RATE_10,PPLTN_RATE_20,PPLTN_RATE_30,PPLTN_RATE_40,PPLTN_RATE_50,PPLTN_RATE_60,PPLTN_RATE_70,RESNT_PPLTN_RATE,NON_RESNT_PPLTN_RATE,PPLTN_TIME,WEATHER_TIME,TEMP,SENSIBLE_TEMP,HUMIDITY,WIND_SPD,PRECIPITATION,PRECPT_TYPE,UV_INDEX_LVL,PM25_INDEX,PM10_INDEX,AIR_IDX,FCST_DT,SKY_STTS,ROAD_TRAFFIC_SPD,ROAD_TRFFIC_TIME
용산역,여유,3000,3500,52.8,47.2,0.4,3.5,18.9,23.7,18.6,18.3,10.3,6.3,42.8,57.2,2023-05-16 00:20,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,31,2023-05-16 00:50
왕십리역,여유,6000,6500,48.7,51.3,0.1,9.2,45.0,16.1,8.6,8.8,6.8,5.4,55.2,44.8,2023-05-16 00:20,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,23,2023-05-16 00:50
DMC(디지털미디어시티),여유,6500,7000,51.2,48.8,0.5,6.2,22.1,24.4,21.7,13.7,7.8,3.7,47.1,52.9,2023-05-16 00:20,2023-05-16 00:51,19,19.5,60,1,-,없음,0,보통,보통,보통,202305170000,맑음,27,2023-05-16 00:50
창동 신경제 중심지,여유,16000,18000,49.8,50.2,0.5,8.0,21.8,16.3,16.4,17.9,11.6,7.4,53.8,46.2,2023-05-16 00:20,2023-05-16 00:51,19.4,20.3,65,1.1,-,없음,0,보통,좋음,보통,202305170000,맑음,23,2023-05-16 00:50
노량진,여유,7000,7500,59.1,40.9,0.0,4.9,42.2,20.6,11.1,10.3,6.4,4.5,48.6,51.4,2023-05-16 00:20,2023-05-16 00:51,18.6,18.9,57,1.2,-,없음,0,보통,보통,보통,202305170000,맑음,44,2023-05-16 00:50
낙산공원·이화마을,여유,300,400,48.8,51.2,0.9,6.6,22.0,12.4,13.6,19.1,14.4,11.1,74.5,25.5,2023-05-16 00:20,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,20,2023-05-16 00:50
북촌한옥마을,여유,400,500,48.6,51.4,0.0,9.3,9.0,14.1,19.2,18.4,14.7,15.3,80.4,19.6,2023-05-16 00:20,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,20,2023-05-16 00:50
가로수길,여유,8500,9000,52.2,47.8,0.2,4.7,21.6,23.9,21.6,13.8,7.2,7.1,40.2,59.8,2023-05-16 00:20,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,28,2023-05-16 00:50
성수카페거리,여유,2000,2500,56.7,43.3,0.4,4.2,26.2,27.4,15.8,12.5,8.9,4.6,31.5,68.5,2023-05-16 00:20,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,20,2023-05-16 00:50
수유리 먹자골목,여유,8000,8500,51.0,49.0,0.1,5.4,29.6,15.6,14.6,15.3,10.9,8.4,52.0,48.0,2023-05-16 00:20,2023-05-16 00:51,18.9,19.6,62,0.6,-,없음,0,보통,보통,보통,202305170000,맑음,19,2023-05-16 00:50
쌍문동 맛집거리,여유,2000,2500,47.1,52.9,0.2,4.8,21.0,17.7,14.2,19.1,13.7,9.4,63.2,36.8,2023-05-16 00:20,2023-05-16 00:51,18.9,19.6,62,0.6,-,없음,0,보통,좋음,보통,202305170000,맑음,20,2023-05-16 00:50
압구정로데오거리,여유,6000,6500,54.3,45.7,0.3,4.1,22.7,26.3,20.0,14.2,7.0,5.4,31.7,68.3,2023-05-16 00:20,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,21,2023-05-16 00:50
여의도,여유,22000,24000,54.0,46.0,0.3,5.2,14.7,22.3,21.9,16.0,10.4,9.1,45.8,54.2,2023-05-16 00:20,2023-05-16 00:51,20.4,20.7,57,2.1,-,없음,0,보통,보통,보통,202305170000,맑음,32,2023-05-16 00:50
영등포 타임스퀘어,여유,4000,4500,56.8,43.2,0.0,3.3,34.9,26.3,13.0,11.7,7.0,3.8,32.7,67.3,2023-05-16 00:20,2023-05-16 00:51,20.4,20.7,57,2.1,-,없음,0,보통,보통,보통,202305170000,맑음,25,2023-05-16 00:50
인사동·익선동,여유,5000,5500,63.4,36.6,0.0,4.0,26.1,21.4,16.3,15.2,9.2,7.7,30.8,69.2,2023-05-16 00:20,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,21,2023-05-16 00:50
국립중앙박물관·용산가족공원,여유,300,400,48.0,52.0,0.8,8.2,14.2,19.1,20.1,20.4,13.1,4.0,45.4,54.6,2023-05-16 00:20,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,25,2023-05-16 00:50
남산공원,여유,6000,6500,49.6,50.4,0.3,7.2,21.3,18.8,19.9,16.4,9.9,6.1,52.1,47.9,2023-05-16 00:20,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,29,2023-05-16 00:50
뚝섬한강공원,여유,1500,2000,48.7,51.3,0.2,7.9,20.5,17.4,16.1,17.6,11.4,8.9,52.3,47.7,2023-05-16 00:20,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,41,2023-05-16 00:50
망원한강공원,여유,900,1000,53.2,46.8,0.3,6.2,20.3,20.7,18.0,14.5,11.6,8.5,52.6,47.4,2023-05-16 00:20,2023-05-16 00:51,20.4,20.7,57,2.1,-,없음,0,보통,보통,보통,202305170000,맑음,37,2023-05-16 00:50
반포한강공원,여유,1500,2000,54.9,45.1,0.0,8.0,28.2,18.6,20.4,13.4,7.8,3.6,9.4,90.6,2023-05-16 00:20,2023-05-16 00:51,19.2,20.2,67,0.8,-,없음,0,보통,보통,보통,202305170000,맑음,39,2023-05-16 00:50
북서울꿈의숲,여유,3500,4000,46.6,53.4,0.9,5.6,12.7,17.7,17.3,19.8,14.7,11.3,74.6,25.4,2023-05-16 00:20,2023-05-16 00:51,18.9,19.6,62,0.6,-,없음,0,보통,보통,보통,202305170000,맑음,24,2023-05-16 00:50
서울대공원,여유,600,700,48.8,51.2,0.5,7.6,15.0,16.0,19.2,18.9,15.2,7.7,68.1,31.9,2023-05-16 00:20,2023-05-16 00:51,17.9,18.9,67,1,-,없음,0,보통,보통,보통,202305170000,맑음,33,2023-05-16 00:50
서울숲공원,여유,4000,4500,55.8,44.2,0.3,3.8,20.6,22.0,18.4,17.6,12.8,4.6,27.6,72.4,2023-05-16 00:20,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,42,2023-05-16 00:50
월드컵공원,여유,2000,2500,54.0,46.0,0.5,7.1,15.0,18.3,23.0,14.7,11.2,10.1,36.9,63.1,2023-05-16 00:20,2023-05-16 00:51,19,19.5,60,1,-,없음,0,보통,보통,보통,202305170000,맑음,35,2023-05-16 00:50
이촌한강공원,여유,1500,2000,50.3,49.7,0.7,6.5,13.1,17.4,19.2,19.0,13.4,10.7,40.0,60.0,2023-05-16 00:20,2023-05-16 00:51,20.4,20.7,57,2.1,-,없음,0,보통,보통,보통,202305170000,맑음,32,2023-05-16 00:50
잠실종합운동장,여유,700,800,56.9,43.1,0.5,6.8,12.4,15.8,24.9,21.2,14.4,3.9,29.1,70.9,2023-05-16 00:20,2023-05-16 00:51,20.1,20.5,58,0.9,-,없음,0,보통,보통,보통,202305170000,맑음,36,2023-05-16 00:50
잠실한강공원,여유,2000,2500,51.8,48.2,1.4,10.0,12.4,15.6,26.9,17.3,10.2,6.2,29.5,70.5,2023-05-16 00:20,2023-05-16 00:51,19.8,20,55,1,-,없음,0,보통,보통,보통,202305170000,맑음,50,2023-05-16 00:50
강남 MICE 관광특구,여유,900,1000,71.8,28.2,0.0,1.9,20.2,25.7,23.1,15.7,11.3,2.1,15.9,84.1,2023-05-16 00:25,2023-05-16 00:51,17.9,18.9,67,1,-,없음,0,보통,보통,보통,202305170000,맑음,20,2023-05-16 00:55
동대문 관광특구,보통,20000,22000,49.7,50.3,0.0,1.6,20.2,29.8,21.3,14.8,9.4,2.9,32.8,67.2,2023-05-16 00:25,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,22,2023-05-16 00:55
명동 관광특구,여유,5000,5500,62.2,37.8,0.0,4.5,20.1,25.2,22.7,15.2,8.7,3.4,20.7,79.3,2023-05-16 00:25,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,20,2023-05-16 00:55
이태원 관광특구,여유,3500,4000,54.7,45.3,0.2,1.9,27.2,28.6,15.5,11.0,8.0,7.5,43.3,56.7,2023-05-16 00:25,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,27,2023-05-16 00:55
잠실 관광특구,여유,16000,18000,50.8,49.2,0.4,5.3,23.9,23.8,18.3,12.9,9.8,5.7,38.8,61.2,2023-05-16 00:25,2023-05-16 00:51,19.8,20,55,1,-,없음,0,보통,보통,보통,202305170000,맑음,29,2023-05-16 00:55
종로·청계 관광특구,여유,6500,7000,55.2,44.8,0.1,2.1,22.0,21.1,21.5,17.5,10.6,5.2,36.5,63.5,2023-05-16 00:25,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,20,2023-05-16 00:55
홍대 관광특구,여유,22000,24000,51.1,48.9,0.2,7.4,40.7,21.7,12.3,8.4,5.3,4.0,38.3,61.7,2023-05-16 00:25,2023-05-16 00:51,20.4,20.7,57,2.1,-,없음,0,보통,보통,보통,202305170000,맑음,21,2023-05-16 00:55
경복궁·서촌마을,여유,4500,5000,48.4,51.6,0.6,7.7,12.7,17.4,20.8,18.1,11.5,11.1,69.2,30.8,2023-05-16 00:25,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,23,2023-05-16 00:55
광화문·덕수궁,여유,3500,4000,55.8,44.2,0.1,2.5,17.1,23.6,23.5,17.4,8.9,6.9,35.2,64.8,2023-05-16 00:25,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,22,2023-05-16 00:55
창덕궁·종묘,여유,3500,4000,52.1,47.9,0.1,6.6,28.3,16.9,15.4,15.3,9.9,7.4,50.6,49.4,2023-05-16 00:25,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,20,2023-05-16 00:55
가산디지털단지역,여유,6000,6500,59.9,40.1,0.2,2.2,23.0,23.8,20.9,16.0,9.8,4.0,48.1,51.9,2023-05-16 00:25,2023-05-16 00:51,19.6,20.1,60,2.2,-,없음,0,보통,보통,보통,202305170000,맑음,30,2023-05-16 00:55
강남역,여유,16000,18000,56.6,43.4,0.2,6.5,29.9,28.2,18.8,9.0,4.9,2.5,28.6,71.4,2023-05-16 00:25,2023-05-16 01:02,17.4,18.5,69,1,-,없음,0,보통,보통,보통,202305170100,맑음,22,2023-05-16 00:55
건대입구역,여유,10000,12000,50.4,49.6,0.2,9.5,42.1,16.5,9.8,9.6,6.4,5.8,41.4,58.6,2023-05-16 00:25,2023-05-16 01:02,19.6,20.1,59,2.4,-,없음,0,보통,보통,보통,202305170100,맑음,27,2023-05-16 00:55
고속터미널역,여유,2000,2500,52.6,47.4,0.4,7.5,15.3,17.9,22.1,15.8,12.5,8.5,31.7,68.3,2023-05-16 00:25,2023-05-16 01:02,19,20.1,69,0.8,-,없음,0,보통,보통,보통,202305170100,맑음,34,2023-05-16 00:55
교대역,여유,2500,3000,57.7,42.3,0.0,4.4,19.2,26.5,24.3,13.7,7.6,4.3,38.2,61.8,2023-05-16 00:25,2023-05-16 01:02,17.4,18.5,69,1,-,없음,0,보통,보통,보통,202305170100,맑음,22,2023-05-16 00:55
구로디지털단지역,여유,5500,6000,57.8,42.2,0.4,2.1,22.6,27.6,20.3,13.5,8.1,5.3,44.1,55.9,2023-05-16 00:25,2023-05-16 01:02,19.6,20.1,60,1.9,-,없음,0,보통,보통,보통,202305170100,맑음,26,2023-05-16 00:55
서울역,여유,1000,1500,59.6,40.4,0.1,2.1,15.7,22.0,24.7,16.7,12.4,6.4,28.8,71.2,2023-05-16 00:25,2023-05-16 01:02,19.5,20.3,64,2.7,-,없음,0,보통,보통,보통,202305170100,맑음,27,2023-05-16 00:55
선릉역,여유,14000,16000,54.9,45.1,0.3,5.9,19.4,27.4,23.2,13.5,6.5,3.8,37.6,62.4,2023-05-16 00:25,2023-05-16 01:02,17.4,18.5,69,1,-,없음,0,보통,보통,보통,202305170100,맑음,22,2023-05-16 00:55
신도림역,여유,1000,1500,54.1,45.9,0.1,9.2,18.9,19.8,23.8,13.3,8.6,6.4,55.3,44.7,2023-05-16 00:25,2023-05-16 01:02,18.5,18.9,58,1.3,-,없음,0,보통,보통,보통,202305170100,맑음,32,2023-05-16 00:55
신림역,여유,9500,10000,57.2,42.8,0.1,3.7,45.2,25.4,11.1,7.2,4.7,2.6,40.8,59.2,2023-05-16 00:25,2023-05-16 01:02,18.5,18.9,58,1.3,-,없음,0,보통,보통,보통,202305170100,맑음,22,2023-05-16 00:55
신촌·이대역,여유,12000,14000,44.2,55.8,0.0,7.1,59.7,14.6,7.5,5.5,3.4,2.1,43.9,56.1,2023-05-16 00:25,2023-05-16 01:02,20.3,20.7,58,1.3,-,없음,0,보통,좋음,보통,202305170100,맑음,22,2023-05-16 00:55
역삼역,여유,8000,8500,56.4,43.6,0.3,2.4,24.9,28.2,21.6,12.4,6.6,3.6,37.5,62.5,2023-05-16 00:25,2023-05-16 01:02,17.4,18.5,69,1,-,없음,0,보통,보통,보통,202305170100,맑음,21,2023-05-16 00:55
연신내역,여유,3500,4000,51.1,48.9,0.2,3.9,29.0,21.1,13.0,15.1,10.1,7.6,48.5,51.5,2023-05-16 00:25,2023-05-16 01:02,14.2,16.4,86,0.3,-,없음,0,보통,보통,보통,202305170100,맑음,21,2023-05-16 00:55
용산역,여유,3000,3500,54.4,45.6,0.1,3.4,17.8,25.7,17.6,19.2,9.9,6.3,44.0,56.0,2023-05-16 00:25,2023-05-16 01:02,19.6,20.1,59,2.4,-,없음,0,보통,보통,보통,202305170100,맑음,31,2023-05-16 00:55
왕십리역,여유,6000,6500,49.1,50.9,0.1,8.8,45.1,16.3,9.0,8.3,7.1,5.3,54.1,45.9,2023-05-16 00:25,2023-05-16 01:02,19.6,20.1,59,2.4,-,없음,0,보통,보통,보통,202305170100,맑음,23,2023-05-16 00:55
DMC(디지털미디어시티),여유,6000,6500,50.6,49.4,0.4,5.7,24.4,23.4,20.7,13.5,7.8,3.9,47.4,52.6,2023-05-16 00:25,2023-05-16 01:02,18.9,19.5,61,0.7,-,없음,0,보통,보통,보통,202305170100,맑음,27,2023-05-16 00:55
창동 신경제 중심지,여유,16000,18000,49.8,50.2,0.6,8.3,21.0,16.4,16.8,17.8,11.9,7.2,55.1,44.9,2023-05-16 00:25,2023-05-16 01:02,19.3,20.1,64,1.2,-,없음,0,보통,좋음,보통,202305170100,맑음,23,2023-05-16 00:55
노량진,여유,6500,7000,60.2,39.8,0.1,4.6,43.4,20.6,10.4,10.2,6.4,4.3,49.4,50.6,2023-05-16 00:25,2023-05-16 01:02,18.5,18.9,58,1.3,-,없음,0,보통,보통,보통,202305170100,맑음,44,2023-05-16 00:55
낙산공원·이화마을,여유,200,300,47.7,52.3,0.2,5.9,19.7,12.8,16.3,19.7,14.1,11.3,74.8,25.2,2023-05-16 00:25,2023-05-16 01:02,19.5,20.3,64,2.7,-,없음,0,보통,보통,보통,202305170100,맑음,20,2023-05-16 00:55
북촌한옥마을,여유,400,500,48.2,51.8,0.2,6.6,8.5,15.0,19.6,19.7,13.9,16.5,81.2,18.8,2023-05-16 00:25,2023-05-16 01:02,19.5,20.3,64,2.7,-,없음,0,보통,보통,보통,202305170100,맑음,21,2023-05-16 00:55
가로수길,여유,9000,9500,52.7,47.3,0.3,5.5,21.6,23.2,20.4,13.7,7.5,7.8,41.0,59.0,2023-05-16 00:25,2023-05-16 01:02,19.6,20.1,59,2.4,-,없음,0,보통,보통,보통,202305170100,맑음,29,2023-05-16 00:55
성수카페거리,여유,2000,2500,55.4,44.6,0.3,6.0,27.9,25.3,14.5,12.5,9.4,4.2,30.0,70.0,2023-05-16 00:25,2023-05-16 01:02,19.6,20.1,59,2.4,-,없음,0,보통,보통,보통,202305170100,맑음,21,2023-05-16 00:55
수유리 먹자골목,여유,8000,8500,51.2,48.8,0.2,6.2,28.8,16.5,14.3,14.9,11.1,8.1,52.1,47.9,2023-05-16 00:25,2023-05-16 01:02,19.2,19.8,61,1.1,-,없음,0,보통,보통,보통,202305170100,맑음,18,2023-05-16 00:55
쌍문동 맛집거리,여유,2000,2500,47.8,52.2,0.1,4.4,19.6,18.7,15.2,18.7,13.7,9.7,64.4,35.6,2023-05-16 00:25,2023-05-16 01:02,19.2,19.8,61,1.1,-,없음,0,보통,좋음,보통,202305170100,맑음,19,2023-05-16 00:55
압구정로데오거리,여유,6000,6500,54.8,45.2,0.1,4.2,21.3,27.3,20.4,13.6,8.0,5.2,31.1,68.9,2023-05-16 00:25,2023-05-16 01:02,19.6,20.1,59,2.4,-,없음,0,보통,보통,보통,202305170100,맑음,21,2023-05-16 00:55
여의도,여유,22000,24000,53.7,46.3,0.4,5.5,15.2,21.8,21.3,15.6,10.9,9.3,46.2,53.8,2023-05-16 00:25,2023-05-16 01:02,20.3,20.7,58,1.3,-,없음,0,보통,보통,보통,202305170100,맑음,32,2023-05-16 00:55
영등포 타임스퀘어,여유,4000,4500,57.4,42.6,0.0,2.6,35.0,26.3,13.4,11.5,7.1,4.1,33.4,66.6,2023-05-16 00:25,2023-05-16 01:02,20.3,20.7,58,1.3,-,없음,0,보통,보통,보통,202305170100,맑음,25,2023-05-16 00:55
인사동·익선동,여유,5000,5500,64.3,35.7,0.1,4.8,26.2,20.5,15.9,15.8,8.9,7.8,31.1,68.9,2023-05-16 00:25,2023-05-16 01:02,19.5,20.3,64,2.7,-,없음,0,보통,보통,보통,202305170100,맑음,21,2023-05-16 00:55
국립중앙박물관·용산가족공원,여유,300,400,49.2,50.8,0.9,8.2,12.1,19.7,22.3,20.3,12.1,4.4,45.6,54.4,2023-05-16 00:25,2023-05-16 01:02,19.6,20.1,59,2.4,-,없음,0,보통,보통,보통,202305170100,맑음,26,2023-05-16 00:55
남산공원,여유,6000,6500,50.1,49.9,0.4,6.7,22.6,18.8,19.9,16.0,9.5,6.2,53.1,46.9,2023-05-16 00:25,2023-05-16 01:02,19.5,20.3,64,2.7,-,없음,0,보통,보통,보통,202305170100,맑음,29,2023-05-16 00:55
뚝섬한강공원,여유,1500,2000,49.4,50.6,0.3,4.9,20.5,19.4,18.1,16.2,12.3,8.4,50.6,49.4,2023-05-16 00:25,2023-05-16 01:02,19.6,20.1,59,2.4,-,없음,0,보통,보통,보통,202305170100,맑음,41,2023-05-16 00:55
망원한강공원,여유,900,1000,53.2,46.8,0.2,5.8,19.7,20.6,17.6,16.3,10.6,9.2,52.6,47.4,2023-05-16 00:25,2023-05-16 01:02,20.3,20.7,58,1.3,-,없음,0,보통,보통,보통,202305170100,맑음,37,2023-05-16 00:55
반포한강공원,여유,1000,1500,55.0,45.0,0.2,7.1,30.6,21.6,18.4,10.2,7.2,4.7,9.4,90.6,2023-05-16 00:25,2023-05-16 01:02,19,20.1,69,0.8,-,없음,0,보통,보통,보통,202305170100,맑음,40,2023-05-16 00:55
북서울꿈의숲,여유,3500,4000,46.2,53.8,0.6,6.2,12.5,17.9,16.3,19.5,15.3,11.7,74.9,25.1,2023-05-16 00:25,2023-05-16 01:02,19.2,19.8,61,1.1,-,없음,0,보통,보통,보통,202305170100,맑음,24,2023-05-16 00:55
서울대공원,여유,700,800,45.1,54.9,0.8,8.9,14.5,14.3,22.2,17.3,14.7,7.4,64.3,35.7,2023-05-16 00:25,2023-05-16 01:02,17.4,18.5,69,1,-,없음,0,보통,보통,보통,202305170100,맑음,33,2023-05-16 00:55
서울숲공원,여유,4000,4500,56.6,43.4,0.1,4.5,21.2,21.4,18.4,16.1,12.8,5.4,28.2,71.8,2023-05-16 00:25,2023-05-16 01:02,19.6,20.1,59,2.4,-,없음,0,보통,보통,보통,202305170100,맑음,43,2023-05-16 00:55
월드컵공원,여유,2000,2500,55.7,44.3,0.2,7.0,14.9,17.9,22.5,15.6,11.1,10.8,39.1,60.9,2023-05-16 00:25,2023-05-16 01:02,18.9,19.5,61,0.7,-,없음,0,보통,보통,보통,202305170100,맑음,35,2023-05-16 00:55
이촌한강공원,여유,1500,2000,51.4,48.6,0.6,6.8,12.9,19.6,20.6,16.2,14.1,9.1,39.7,60.3,2023-05-16 00:25,2023-05-16 01:02,20.3,20.7,58,1.3,-,없음,0,보통,보통,보통,202305170100,맑음,32,2023-05-16 00:55
잠실종합운동장,여유,600,700,56.9,43.1,1.4,6.1,10.0,17.1,25.9,20.4,15.8,3.3,27.6,72.4,2023-05-16 00:25,2023-05-16 01:02,19.5,20,59,0.3,-,없음,0,보통,보통,보통,202305170100,맑음,35,2023-05-16 00:55
잠실한강공원,여유,2000,2500,51.2,48.8,0.9,8.1,13.5,14.6,26.4,18.2,11.9,6.4,30.6,69.4,2023-05-16 00:25,2023-05-16 01:02,19.8,20,55,0.7,-,없음,0,보통,보통,보통,202305170100,맑음,49,2023-05-16 00:55
